"column_name","ring_diam","angle","x","y"
"r0_0_0deg",0,0,0,0
"r1_0_0deg",1,0,1,0
"r1_0_45deg",1,45,0.7071,0.7071
"r1_0_90deg",1,90,0,1
"r1_0_135deg",1,135,-0.7071,0.7071
"r1_0_180deg",1,180,-1,0
"r1_0_225deg",1,225,-0.7071,-0.7071
"r1_0_270deg",1,270,0,-1
"r1_0_315deg",1,315,0.7071,-0.7071
"r2_0_0deg",2,0,2,0
"r2_0_30deg",2,30,1.7321,1
"r2_0_60deg",2,60,1,1.7321
"r2_0_90deg",2,90,0,2
"r2_0_120deg",2,120,-1,1.7321
"r2_0_150deg",2,150,-1.7321,1
"r2_0_180deg",2,180,-2,0
"r2_0_210deg",2,210,-1.7321,-1
"r2_0_240deg",2,240,-1,-1.7321
"r2_0_270deg",2,270,0,-2
"r2_0_300deg",2,300,1,-1.7321
"r2_0_330deg",2,330,1.7321,-1
"r3_0_0deg",3,0,3,0
"r3_0_23deg",3,23,2.7615,1.1722
"r3_0_45deg",3,45,2.1213,2.1213
"r3_0_68deg",3,68,1.1238,2.7816
"r3_0_90deg",3,90,0,3
"r3_0_113deg",3,113,-1.1722,2.7615
"r3_0_135deg",3,135,-2.1213,2.1213
"r3_0_157deg",3,157,-2.7615,1.1722
"r3_0_180deg",3,180,-3,0
"r3_0_202deg",3,202,-2.7816,-1.1238
"r3_0_225deg",3,225,-2.1213,-2.1213
"r3_0_247deg",3,247,-1.1722,-2.7615
"r3_0_270deg",3,270,0,-3
"r3_0_292deg",3,292,1.1238,-2.7816
"r3_0_315deg",3,315,2.1213,-2.1213
"r3_0_338deg",3,338,2.7816,-1.1238
"r4_0_0deg",4,0,4,0
"r4_0_18deg",4,18,3.8042,1.2361
"r4_0_36deg",4,36,3.2361,2.3511
"r4_0_54deg",4,54,2.3511,3.2361
"r4_0_72deg",4,72,1.2361,3.8042
"r4_0_90deg",4,90,0,4
"r4_0_108deg",4,108,-1.2361,3.8042
"r4_0_126deg",4,126,-2.3511,3.2361
"r4_0_144deg",4,144,-3.2361,2.3511
"r4_0_162deg",4,162,-3.8042,1.2361
"r4_0_180deg",4,180,-4,0
"r4_0_198deg",4,198,-3.8042,-1.2361
"r4_0_216deg",4,216,-3.2361,-2.3511
"r4_0_234deg",4,234,-2.3511,-3.2361
"r4_0_252deg",4,252,-1.2361,-3.8042
"r4_0_270deg",4,270,0,-4
"r4_0_288deg",4,288,1.2361,-3.8042
"r4_0_306deg",4,306,2.3511,-3.2361
"r4_0_324deg",4,324,3.2361,-2.3511
"r4_0_342deg",4,342,3.8042,-1.2361
"r5_0_0deg",5,0,5,0
"r5_0_15deg",5,15,4.8296,1.2941
"r5_0_30deg",5,30,4.3301,2.5
"r5_0_45deg",5,45,3.5355,3.5355
"r5_0_60deg",5,60,2.5,4.3301
"r5_0_75deg",5,75,1.2941,4.8296
"r5_0_90deg",5,90,0,5
"r5_0_105deg",5,105,-1.2941,4.8296
"r5_0_120deg",5,120,-2.5,4.3301
"r5_0_135deg",5,135,-3.5355,3.5355
"r5_0_150deg",5,150,-4.3301,2.5
"r5_0_165deg",5,165,-4.8296,1.2941
"r5_0_180deg",5,180,-5,0
"r5_0_195deg",5,195,-4.8296,-1.2941
"r5_0_210deg",5,210,-4.3301,-2.5
"r5_0_225deg",5,225,-3.5355,-3.5355
"r5_0_240deg",5,240,-2.5,-4.3301
"r5_0_255deg",5,255,-1.2941,-4.8296
"r5_0_270deg",5,270,0,-5
"r5_0_285deg",5,285,1.2941,-4.8296
"r5_0_300deg",5,300,2.5,-4.3301
"r5_0_315deg",5,315,3.5355,-3.5355
"r5_0_330deg",5,330,4.3301,-2.5
"r5_0_345deg",5,345,4.8296,-1.2941
"r6_0_0deg",6,0,6,0
"r6_0_13deg",6,13,5.8462,1.3497
"r6_0_26deg",6,26,5.3928,2.6302
"r6_0_39deg",6,39,4.6629,3.7759
"r6_0_51deg",6,51,3.7759,4.6629
"r6_0_64deg",6,64,2.6302,5.3928
"r6_0_77deg",6,77,1.3497,5.8462
"r6_0_90deg",6,90,0,6
"r6_0_103deg",6,103,-1.3497,5.8462
"r6_0_116deg",6,116,-2.6302,5.3928
"r6_0_129deg",6,129,-3.7759,4.6629
"r6_0_141deg",6,141,-4.6629,3.7759
"r6_0_154deg",6,154,-5.3928,2.6302
"r6_0_167deg",6,167,-5.8462,1.3497
"r6_0_180deg",6,180,-6,0
"r6_0_193deg",6,193,-5.8462,-1.3497
"r6_0_206deg",6,206,-5.3928,-2.6302
"r6_0_219deg",6,219,-4.6629,-3.7759
"r6_0_231deg",6,231,-3.7759,-4.6629
"r6_0_244deg",6,244,-2.6302,-5.3928
"r6_0_257deg",6,257,-1.3497,-5.8462
"r6_0_270deg",6,270,0,-6
"r6_0_283deg",6,283,1.3497,-5.8462
"r6_0_296deg",6,296,2.6302,-5.3928
"r6_0_309deg",6,309,3.7759,-4.6629
"r6_0_321deg",6,321,4.6629,-3.7759
"r6_0_334deg",6,334,5.3928,-2.6302
"r6_0_347deg",6,347,5.8462,-1.3497
